ISSUE_SEVERITY_RANK,ISSUE_SEVERITY,SCORE,PROBLEM_TITLE,CVE,CWE,PROJECT_NAME,PROJECT_URL,EXPLOIT_MATURITY,AUTOFIXABLE,FIRST_INTRODUCED,ISSUE_STATUS,LAST_INTRODUCED,LAST_RESOLVED,PRODUCT_NAME,PROJECT_CRITICALITY,PROJECT_ENVIRONMENT,PROJECT_LIFECYCLE,PROJECT_TAGS,PROJECT_TYPE,ORG_NAME,PROBLEM_ID,INITIAL_ISSUE_TYPE,VULN_DB_URL,LAST_IGNORED,PROJECT_OWNER,PROJECT_ORIGIN,PACKAGE_NAME_AND_VERSION,PROJECT_TARGET,PROJECT_TARGET_REFERENCE,PROJECT_COLLECTION,ISSUE_URL,ISSUE_STATUS_INDICATOR,ISSUE_TYPE,Model Results
3,High,903,Cross-site Scripting (XSS),[],"[""CWE-79""]",MrkmuniKumar/juice-shop,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9,,,2023-08-24 07:21:02.442,Open,2023-08-24 07:21:02.442,,Snyk Code,,,,,Static Application Security Testing (SAST),MrkmuniKumar,1de0f43d-be12-4d43-9a1d-967e10b09561,CODE_SECURITY_VULNERABILITY,,,,github,,MrkmuniKumar/juice-shop,master,,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9#issue-1de0f43d-be12-4d43-9a1d-967e10b09561,Open,Vulnerability,[]
3,High,903,Cross-site Scripting (XSS),[],"[""CWE-79""]",MrkmuniKumar/juice-shop,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9,,,2023-08-24 07:21:02.442,Open,2023-08-24 07:21:02.442,,Snyk Code,,,,,Static Application Security Testing (SAST),MrkmuniKumar,8900005e-57cf-4ca1-add0-f6fdbe943060,CODE_SECURITY_VULNERABILITY,,,,github,,MrkmuniKumar/juice-shop,master,,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9#issue-8900005e-57cf-4ca1-add0-f6fdbe943060,Open,Vulnerability,[]
3,High,853,Cross-site Scripting (XSS),[],"[""CWE-79""]",MrkmuniKumar/juice-shop,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9,,,2023-08-24 07:21:02.442,Open,2023-08-24 07:21:02.442,,Snyk Code,,,,,Static Application Security Testing (SAST),MrkmuniKumar,95cfcd00-ac24-47ad-84cd-135d4aa274e1,CODE_SECURITY_VULNERABILITY,,,,github,,MrkmuniKumar/juice-shop,master,,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9#issue-95cfcd00-ac24-47ad-84cd-135d4aa274e1,Open,Vulnerability,[]
3,High,802,SQL Injection,[],"[""CWE-89""]",MrkmuniKumar/juice-shop,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9,,,2023-08-24 07:21:02.442,Open,2023-08-24 07:21:02.442,,Snyk Code,,,,,Static Application Security Testing (SAST),MrkmuniKumar,110fe784-d12e-4da3-b6b4-957c0202b462,CODE_SECURITY_VULNERABILITY,,,,github,,MrkmuniKumar/juice-shop,master,,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9#issue-110fe784-d12e-4da3-b6b4-957c0202b462,Open,Vulnerability,[]
3,High,802,Path Traversal,[],"[""CWE-23""]",MrkmuniKumar/juice-shop,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9,,,2023-08-24 07:21:02.442,Open,2023-08-24 07:21:02.442,,Snyk Code,,,,,Static Application Security Testing (SAST),MrkmuniKumar,001d5591-9a94-4f6e-b1c9-04487a213e8d,CODE_SECURITY_VULNERABILITY,,,,github,,MrkmuniKumar/juice-shop,master,,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9#issue-001d5591-9a94-4f6e-b1c9-04487a213e8d,Open,Vulnerability,[]
3,High,802,Path Traversal,[],"[""CWE-23""]",MrkmuniKumar/juice-shop,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9,,,2023-08-24 07:21:02.442,Open,2023-08-24 07:21:02.442,,Snyk Code,,,,,Static Application Security Testing (SAST),MrkmuniKumar,f15e6c59-be37-45a1-9793-2560aebb1d17,CODE_SECURITY_VULNERABILITY,,,,github,,MrkmuniKumar/juice-shop,master,,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9#issue-f15e6c59-be37-45a1-9793-2560aebb1d17,Open,Vulnerability,[]
3,High,802,Path Traversal,[],"[""CWE-23""]",MrkmuniKumar/juice-shop,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9,,,2023-08-24 07:21:02.442,Open,2023-08-24 07:21:02.442,,Snyk Code,,,,,Static Application Security Testing (SAST),MrkmuniKumar,d6ef9092-2c3f-4ceb-a548-2c63c15dcdc2,CODE_SECURITY_VULNERABILITY,,,,github,,MrkmuniKumar/juice-shop,master,,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9#issue-d6ef9092-2c3f-4ceb-a548-2c63c15dcdc2,Open,Vulnerability,[]
3,High,802,Path Traversal,[],"[""CWE-23""]",MrkmuniKumar/juice-shop,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9,,,2023-08-24 07:21:02.442,Open,2023-08-24 07:21:02.442,,Snyk Code,,,,,Static Application Security Testing (SAST),MrkmuniKumar,b3b03bbc-8cd1-4e7e-8ff9-e43d22a6a2a4,CODE_SECURITY_VULNERABILITY,,,,github,,MrkmuniKumar/juice-shop,master,,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9#issue-b3b03bbc-8cd1-4e7e-8ff9-e43d22a6a2a4,Open,Vulnerability,[]
3,High,802,Path Traversal,[],"[""CWE-23""]",MrkmuniKumar/juice-shop,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9,,,2023-08-24 07:21:02.442,Open,2023-08-24 07:21:02.442,,Snyk Code,,,,,Static Application Security Testing (SAST),MrkmuniKumar,b169c07b-6c2a-4689-b8d7-b3b59f2d8ab9,CODE_SECURITY_VULNERABILITY,,,,github,,MrkmuniKumar/juice-shop,master,,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9#issue-b169c07b-6c2a-4689-b8d7-b3b59f2d8ab9,Open,Vulnerability,[]
3,High,802,Path Traversal,[],"[""CWE-23""]",MrkmuniKumar/juice-shop,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9,,,2023-08-24 07:21:02.442,Open,2023-08-24 07:21:02.442,,Snyk Code,,,,,Static Application Security Testing (SAST),MrkmuniKumar,bcd98a3a-f113-4385-9831-6dbd6aee1091,CODE_SECURITY_VULNERABILITY,,,,github,,MrkmuniKumar/juice-shop,master,,https://app.snyk.io/org/mrkmunikumar/project/51c6ec68-8de8-4009-b579-8ee2483b27b9#issue-bcd98a3a-f113-4385-9831-6dbd6aee1091,Open,Vulnerability,[]
